Source,Type,Target,Weight
André,Undirected,Carlotta,2
André,Undirected,Christine,1
André,Undirected,Firmin,2
André,Undirected,Giry,2
André,Undirected,Meg,1
André,Undirected,Phantom,2
André,Undirected,Piangi,2
André,Undirected,Raoul,2
Buquet,Undirected,Giry,1
Carlotta,Undirected,Christine,4
Carlotta,Undirected,Confidante,1
Carlotta,Undirected,Ensemble,1
Carlotta,Undirected,Firmin,2
Carlotta,Undirected,Giry,2
Carlotta,Undirected,Hairdresser,1
Carlotta,Undirected,Jeweler,1
Carlotta,Undirected,Meg,1
Carlotta,Undirected,Phantom,3
Carlotta,Undirected,Piangi,4
Carlotta,Undirected,Raoul,3
Carlotta,Undirected,Reyer,1
Christine,Undirected,Confidante,1
Christine,Undirected,Firmin,1
Christine,Undirected,Giry,1
Christine,Undirected,Hairdresser,1
Christine,Undirected,Jeweler,1
Christine,Undirected,Meg,1
Christine,Undirected,Phantom,8
Christine,Undirected,Piangi,2
Christine,Undirected,Raoul,7
Christine,Undirected,Reyer,1
Confidante,Undirected,Hairdresser,1
Confidante,Undirected,Jeweler,1
Confidante,Undirected,Phantom,1
Ensemble,Undirected,Piangi,1
Firmin,Undirected,Giry,2
Firmin,Undirected,Meg,1
Firmin,Undirected,Phantom,2
Firmin,Undirected,Piangi,2
Firmin,Undirected,Raoul,2
Giry,Undirected,Meg,1
Giry,Undirected,Phantom,2
Giry,Undirected,Piangi,2
Giry,Undirected,Raoul,2
Hairdresser,Undirected,Jeweler,1
Hairdresser,Undirected,Phantom,1
Jeweler,Undirected,Phantom,1
Meg,Undirected,Phantom,2
Meg,Undirected,Piangi,1
Meg,Undirected,Raoul,2
Phantom,Undirected,Piangi,2
Phantom,Undirected,Raoul,5
Piangi,Undirected,Raoul,2
Piangi,Undirected,Reyer,1
