"Ayckbourn_Jeeves" "Black_Boulevard" "Black_Express" "Black_Song" "Black_Sunday" "Black_Ward" "Eliot_Cats" "Elton_Game" "Hampton_Boulevard" "Hampton_Ward" "Harburg_Oz" "Hart_Aspects" "Hart_Love" "Hart_Phantom" "Maltby_Song" "Nunn_Cats" "Rice_Evita" "Rice_JCS" "Rice_Joseph" "Rice_Likes" "Rice_Oz" "Slater_Love" "Slater_Rock" "Steinman_Whistle" "Stilgoe_Cats" "Stilgoe_Express" "Stilgoe_Phantom" "Yazbek_Express" "Zippel_Woman"
"the" 2.98146655922643 3.70769562405691 5.37722908093278 1.97435375534297 2.05431754874652 4.82954545454545 6.0662333642835 4.02369281045752 3.70769562405691 4.82954545454545 6.22683469236471 3.01144848183176 4.91768454593733 3.80087023291528 1.97435375534297 6.0662333642835 4.15361568841073 2.9339519650655 4.05478464588214 2.18093699515347 6.22683469236471 4.91768454593733 6.01313794845882 1.45741878841089 6.0662333642835 5.37722908093278 3.80087023291528 5.37722908093278 3.02421196893559
"you" 2.87402632285791 2.83825537112884 3.52537722908093 4.47791573376756 5.32729805013928 1.42045454545455 1.76415970287837 1.89950980392157 2.83825537112884 1.42045454545455 1.26019273535953 3.70831259333001 3.43069569835369 3.42974148963399 4.47791573376756 1.76415970287837 2.71006400653684 4.96724890829694 1.85619030455938 1.93861066235864 1.26019273535953 3.43069569835369 3.58767054067711 4.91659350307287 1.76415970287837 3.52537722908093 3.42974148963399 3.52537722908093 3.14298766560073
"i" 1.90706419554123 2.89573902421499 1.94787379972565 4.57968654589864 4.28272980501393 3.40909090909091 1.454658000619 2.59395424836601 2.89573902421499 3.40909090909091 2.26093402520385 3.23544051767048 2.13489113117366 2.2011773739442 4.57968654589864 1.454658000619 1.96105134141359 2.83842794759825 1.78410524418814 5.00807754442649 2.26093402520385 2.13489113117366 3.63820111167256 3.31870061457419 1.454658000619 1.94787379972565 2.2011773739442 1.94787379972565 3.13385107354957
"and" 1.23556271823798 1.34368039088884 1.92043895747599 1.62833299409729 1.88022284122563 1.13636363636364 3.884246363355 2.65522875816993 1.34368039088884 1.13636363636364 2.37212750185322 2.02837232453957 3.31386086032926 1.91963143076529 1.62833299409729 3.884246363355 1.70230151164374 1.61026200873362 3.29789151198414 2.98869143780291 2.37212750185322 3.31386086032926 4.5477513895907 1.51009657594381 3.884246363355 1.92043895747599 1.91963143076529 1.92043895747599 2.17450890817725
"to" 2.47112543647596 2.19874973054538 1.57750342935528 2.70710360268675 2.8899721448468 3.69318181818182 1.96533580934695 2.63480392156863 2.19874973054538 3.69318181818182 2.44625648628614 2.17770034843206 1.58258098778545 1.97082160225237 2.70710360268675 1.96533580934695 2.54664306141904 2.10152838427948 1.74806271400252 2.4232633279483 2.44625648628614 1.58258098778545 2.17281455280445 2.40561896400351 1.96533580934695 1.57750342935528 1.97082160225237 1.57750342935528 2.37551393330288
"a" 2.76658608648939 2.47898253934038 1.68724279835391 2.07612456747405 2.19359331476323 1.13636363636364 3.03311668214175 1.9812091503268 2.47898253934038 1.13636363636364 2.48332097850259 2.33947237431558 1.46574614976102 1.43332480163809 2.07612456747405 3.03311668214175 2.49216941304644 1.70578602620087 2.30672193187962 2.50403877221325 2.48332097850259 1.46574614976102 1.31379484588176 1.28182616330114 3.03311668214175 1.68724279835391 1.43332480163809 1.68724279835391 2.09227957971677
"of" 0.91324200913242 1.46583315369692 1.11111111111111 0.936291471605943 0.974930362116992 3.69318181818182 2.21293717115444 1.10294117647059 1.46583315369692 3.69318181818182 2.07561156412157 0.908412145345943 0.892193308550186 2.73867417455848 0.936291471605943 2.21293717115444 1.90657769304099 1.18722707423581 2.19859434132276 1.21163166397415 2.07561156412157 0.892193308550186 1.56644770085902 0.77260755048288 2.21293717115444 1.11111111111111 2.73867417455848 1.11111111111111 1.48012791228872
"me" 0.94010206822455 0.804771143206151 2.07133058984911 2.15754121717891 2.36768802228412 0.852272727272727 0.309501702259362 0.633169934640523 0.804771143206151 0.852272727272727 0.630096367679763 1.25684420109507 0.913436006372809 1.85564371640645 2.15754121717891 0.309501702259362 1.14394661582459 2.742903930131 0.865020724454857 1.13085621970921 0.630096367679763 0.913436006372809 1.0611419909045 1.14135206321335 0.309501702259362 2.07133058984911 1.85564371640645 2.07133058984911 1.14207400639561
"in" 1.50416330915928 1.13530214845153 0.891632373113855 1.01770812131081 0.835654596100279 1.98863636363636 1.36180748994119 1.30718954248366 1.13530214845153 1.98863636363636 1.03780578206079 1.02040816326531 0.754115772703133 1.57409777322754 1.01770812131081 1.36180748994119 1.21203867629034 0.5867903930131 1.45972247251757 1.77705977382876 1.03780578206079 0.754115772703133 1.31379484588176 0.913081650570676 1.36180748994119 0.891632373113855 1.57409777322754 0.891632373113855 1.20603015075377
"is" 0.99382218640881 1.027520298915 0.987654320987654 0.488499898229188 0.383008356545961 0.284090909090909 1.36180748994119 0.980392156862745 1.027520298915 0.284090909090909 0.778354336545589 1.15729218516675 0.807222517259692 1.12618377271564 0.488499898229188 1.36180748994119 0.844341549775296 0.85971615720524 1.11731843575419 1.77705977382876 0.778354336545589 0.807222517259692 0.353713996968166 0.509218612818262 1.36180748994119 0.987654320987654 1.12618377271564 0.987654320987654 1.30653266331658
"it" 1.04754230459307 1.10656032190846 0.946502057613169 0.936291471605943 0.974930362116992 0.284090909090909 0.711853915196534 0.898692810457516 1.10656032190846 0.284090909090909 1.1119347664937 1.08262817322051 1.14710568242167 0.588686972101357 0.936291471605943 0.711853915196534 0.680920604657497 0.614082969432314 1.09929717066138 0.807754442649435 1.1119347664937 1.14710568242167 1.97069226882264 1.94907813871817 0.711853915196534 0.946502057613169 0.588686972101357 0.946502057613169 0.867976244860667
"my" 0.88638195004029 0.926923906014227 0.727023319615912 0.630979035212701 0.452646239554318 0.284090909090909 0.402352212937171 1.22549019607843 0.926923906014227 0.284090909090909 0.815418828762046 1.02040816326531 0.658523632501328 1.39493217302278 0.630979035212701 0.402352212937171 0.721775840936947 0.955240174672489 0.810956929176428 1.13085621970921 0.815418828762046 0.658523632501328 1.1622031328954 0.280948200175593 0.402352212937171 0.727023319615912 1.39493217302278 0.727023319615912 1.49840109639105
